FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.609375,0.125003,22.000000,0.208984,0.572266
1,2,0.609375,-0.125003,20.000000,0.228516,0.564453
2,1,0.609375,-0.250007,38.000000,0.115234,0.599609
3,1,0.234375,0.000000,86.000000,0.007812,0.234375
3,2,0.281250,0.000000,92.000000,0.009766,0.281250
3,3,0.234375,0.125003,172.000000,0.007812,0.234375
3,4,0.234375,0.250007,90.000000,0.007812,0.234375
4,1,0.234375,0.000000,86.000000,0.007812,0.234375
4,2,0.281250,0.000000,92.000000,0.009766,0.281250
4,3,0.234375,0.125003,172.000000,0.007812,0.234375
4,4,0.234375,0.250007,90.000000,0.007812,0.234375
5,1,0.609375,0.125003,87.000000,0.208984,0.572266
5,2,0.609375,0.250007,30.000000,0.191406,0.578125
5,3,0.609375,-0.125003,83.000000,0.191406,0.578125
6,1,0.609375,0.125003,68.000000,0.191406,0.578125
7,1,0.656250,-0.125003,53.000000,0.287109,0.589844
8,1,0.281250,0.000000,43.000000,0.062500,0.275391
8,2,0.234375,-0.250007,30.000000,0.044922,0.230469
8,3,0.281250,-0.250007,46.000000,0.062500,0.275391
8,4,0.328125,-0.250007,40.000000,0.082031,0.318359
8,5,0.234375,-0.125003,91.000000,0.037109,0.232422
8,6,0.281250,-0.125003,134.000000,0.052734,0.275391
8,7,0.328125,-0.125003,114.000000,0.072266,0.320312
9,1,0.281250,0.000000,43.000000,0.062500,0.275391
9,2,0.234375,-0.250007,30.000000,0.044922,0.230469
9,3,0.281250,-0.250007,46.000000,0.062500,0.275391
9,4,0.328125,-0.250007,40.000000,0.082031,0.318359
9,5,0.234375,-0.125003,91.000000,0.037109,0.232422
9,6,0.281250,-0.125003,134.000000,0.052734,0.275391
9,7,0.328125,-0.125003,114.000000,0.072266,0.320312
10,1,0.328125,0.000000,26.000000,0.072266,0.320312
10,2,0.328125,-0.250007,29.000000,0.091797,0.314453
10,3,0.281250,-0.125003,52.000000,0.070312,0.271484
10,4,0.328125,-0.125003,86.000000,0.082031,0.318359
10,5,0.328125,-0.250007,21.000000,-0.031250,0.326172
10,6,0.281250,-0.125003,42.000000,-0.027344,0.279297
11,1,0.328125,0.000000,26.000000,0.072266,0.320312
11,2,0.328125,-0.250007,29.000000,0.091797,0.314453
11,3,0.281250,-0.125003,52.000000,0.070312,0.271484
11,4,0.328125,-0.125003,86.000000,0.082031,0.318359
11,5,0.328125,-0.250007,21.000000,-0.031250,0.326172
11,6,0.281250,-0.125003,42.000000,-0.027344,0.279297
12,1,0.234375,0.125003,26.000000,0.021484,0.232422
12,2,0.281250,0.125003,29.000000,0.017578,0.281250
12,3,0.234375,-0.125003,33.000000,0.021484,0.232422
12,4,0.281250,-0.125003,40.000000,0.017578,0.281250
13,1,0.234375,0.125003,26.000000,0.021484,0.232422
13,2,0.281250,0.125003,29.000000,0.017578,0.281250
13,3,0.234375,-0.125003,33.000000,0.021484,0.232422
13,4,0.281250,-0.125003,40.000000,0.017578,0.281250
14,1,0.281250,0.125003,28.000000,0.062500,0.275391
14,2,0.328125,0.125003,30.000000,0.082031,0.318359
14,3,0.281250,-0.125003,23.000000,0.062500,0.275391
14,4,0.328125,-0.125003,24.000000,0.082031,0.318359
14,5,0.281250,0.125003,23.000000,-0.035156,0.279297
14,6,0.328125,0.125003,22.000000,-0.041016,0.326172
14,7,0.281250,-0.125003,22.000000,-0.035156,0.279297
14,8,0.328125,-0.125003,21.000000,-0.041016,0.326172
