FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.468750,0.000000,291.000000,-0.250000,0.396484
1,2,0.515625,0.000000,453.000000,-0.273438,0.437500
1,3,0.562500,0.000000,266.000000,-0.298828,0.476562
1,4,0.515625,-0.250007,406.000000,-0.257812,0.447266
1,5,0.562500,-0.250007,241.000000,-0.281250,0.486328
1,6,0.515625,-0.125003,856.000000,-0.273438,0.437500
1,7,0.562500,-0.125003,500.000000,-0.298828,0.476562
1,8,0.609375,-0.125003,78.000000,-0.343750,0.503906
2,1,0.468750,0.000000,291.000000,-0.250000,0.396484
2,2,0.515625,0.000000,453.000000,-0.273438,0.437500
2,3,0.562500,0.000000,266.000000,-0.298828,0.476562
2,4,0.515625,-0.250007,406.000000,-0.257812,0.447266
2,5,0.562500,-0.250007,241.000000,-0.281250,0.486328
2,6,0.515625,-0.125003,856.000000,-0.273438,0.437500
2,7,0.562500,-0.125003,500.000000,-0.298828,0.476562
2,8,0.609375,-0.125003,78.000000,-0.343750,0.503906
3,1,0.562500,0.000000,124.000000,-0.246094,0.505859
3,2,0.562500,0.125003,37.000000,-0.263672,0.496094
3,3,0.562500,-0.250007,106.000000,-0.246094,0.505859
3,4,0.562500,-0.125003,257.000000,-0.263672,0.496094
3,5,0.609375,-0.125003,57.000000,-0.248047,0.556641
4,1,0.468750,0.000000,251.000000,-0.234375,0.406250
4,2,0.515625,0.000000,311.000000,-0.242188,0.455078
4,3,0.562500,0.000000,135.000000,-0.263672,0.496094
4,4,0.562500,0.125003,29.000000,-0.263672,0.496094
4,5,0.515625,-0.250007,267.000000,-0.226562,0.462891
4,6,0.562500,-0.250007,117.000000,-0.246094,0.505859
4,7,0.515625,-0.125003,615.000000,-0.257812,0.447266
4,8,0.562500,-0.125003,269.000000,-0.263672,0.496094
5,1,0.515625,0.000000,343.000000,-0.226562,0.462891
5,2,0.562500,0.000000,168.000000,-0.246094,0.505859
5,3,0.562500,-0.250007,145.000000,-0.228516,0.513672
