FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.562500,0.125003,39.000000,0.105469,0.552734
1,2,0.609375,0.125003,63.000000,0.152344,0.589844
1,3,0.562500,-0.125003,46.000000,0.105469,0.552734
1,4,0.609375,-0.125003,74.000000,0.152344,0.589844
2,1,0.562500,0.125003,46.000000,0.087891,0.554688
2,2,0.609375,0.125003,60.000000,0.152344,0.589844
2,3,0.562500,-0.125003,41.000000,0.087891,0.554688
2,4,0.609375,-0.125003,51.000000,0.171875,0.583984
3,1,0.562500,0.000000,10.000000,0.105469,0.552734
3,2,0.609375,0.000000,16.000000,0.115234,0.599609
3,3,0.562500,0.125003,86.000000,0.087891,0.554688
3,4,0.609375,0.125003,120.000000,0.132812,0.593750
3,5,0.562500,-0.125003,68.000000,0.087891,0.554688
3,6,0.609375,-0.125003,94.000000,0.132812,0.593750
3,7,0.609375,0.000000,12.000000,-0.132812,0.593750
4,1,0.562500,0.000000,11.000000,0.087891,0.554688
4,2,0.609375,0.000000,18.000000,0.115234,0.599609
4,3,0.562500,0.125003,79.000000,0.087891,0.554688
4,4,0.609375,0.125003,98.000000,0.132812,0.593750
4,5,0.562500,0.250007,27.000000,0.087891,0.554688
4,6,0.609375,0.250007,33.000000,0.115234,0.599609
4,7,0.562500,-0.125003,60.000000,0.105469,0.552734
4,8,0.609375,-0.125003,68.000000,0.132812,0.593750
4,9,0.609375,0.000000,15.000000,-0.152344,0.589844
4,10,0.609375,-0.125003,67.000000,-0.115234,0.599609
5,1,0.562500,0.000000,11.000000,0.087891,0.554688
5,2,0.609375,0.000000,18.000000,0.115234,0.599609
5,3,0.562500,0.125003,79.000000,0.087891,0.554688
5,4,0.609375,0.125003,98.000000,0.132812,0.593750
5,5,0.562500,0.250007,27.000000,0.087891,0.554688
5,6,0.609375,0.250007,33.000000,0.115234,0.599609
5,7,0.562500,-0.125003,60.000000,0.105469,0.552734
5,8,0.609375,-0.125003,68.000000,0.132812,0.593750
5,9,0.609375,0.000000,15.000000,-0.152344,0.589844
5,10,0.609375,-0.125003,67.000000,-0.115234,0.599609
6,1,0.562500,0.000000,11.000000,0.087891,0.554688
6,2,0.609375,0.000000,18.000000,0.115234,0.599609
6,3,0.562500,0.125003,79.000000,0.087891,0.554688
6,4,0.609375,0.125003,98.000000,0.132812,0.593750
6,5,0.562500,0.250007,27.000000,0.087891,0.554688
6,6,0.609375,0.250007,33.000000,0.115234,0.599609
6,7,0.562500,-0.125003,60.000000,0.105469,0.552734
6,8,0.609375,-0.125003,68.000000,0.132812,0.593750
6,9,0.609375,0.000000,15.000000,-0.152344,0.589844
6,10,0.609375,-0.125003,67.000000,-0.115234,0.599609
7,1,0.562500,0.000000,37.000000,-0.087891,0.554688
7,2,0.562500,0.125003,41.000000,-0.105469,0.552734
7,3,0.609375,0.125003,137.000000,-0.115234,0.599609
7,4,0.609375,0.250007,43.000000,-0.132812,0.593750
7,5,0.562500,-0.250007,38.000000,-0.087891,0.554688
7,6,0.562500,-0.125003,104.000000,-0.105469,0.552734
7,7,0.609375,-0.125003,366.000000,-0.115234,0.599609
7,8,0.562500,0.125003,40.000000,0.087891,0.554688
8,1,0.562500,0.000000,97.000000,-0.087891,0.554688
8,2,0.421875,0.125003,120.000000,-0.263672,0.330078
8,3,0.468750,0.125003,75.000000,-0.292969,0.365234
8,4,0.562500,0.125003,69.000000,-0.123047,0.548828
8,5,0.609375,0.125003,236.000000,-0.115234,0.599609
8,6,0.421875,0.250007,62.000000,-0.263672,0.330078
8,7,0.468750,0.250007,38.000000,-0.292969,0.365234
8,8,0.562500,0.250007,23.000000,-0.123047,0.548828
8,9,0.609375,0.250007,79.000000,-0.132812,0.593750
8,10,0.562500,-0.250007,90.000000,-0.087891,0.554688
8,11,0.562500,-0.125003,238.000000,-0.105469,0.552734
8,12,0.609375,-0.125003,813.000000,-0.115234,0.599609
9,1,0.562500,0.000000,246.000000,-0.105469,0.552734
9,2,0.609375,0.000000,706.000000,-0.115234,0.599609
9,3,0.562500,0.125003,64.000000,-0.105469,0.552734
9,4,0.609375,0.125003,188.000000,-0.115234,0.599609
9,5,0.562500,0.250007,26.000000,-0.105469,0.552734
9,6,0.609375,0.250007,75.000000,-0.115234,0.599609
9,7,0.562500,-0.250007,206.000000,-0.087891,0.554688
9,8,0.562500,-0.125003,493.000000,-0.105469,0.552734
9,9,0.609375,-0.125003,1425.000000,-0.115234,0.599609
10,1,0.562500,0.000000,281.000000,-0.105469,0.552734
10,2,0.609375,0.000000,667.000000,-0.115234,0.599609
10,3,0.421875,0.125003,100.000000,-0.316406,0.279297
10,4,0.468750,0.125003,108.000000,-0.337891,0.326172
