FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.281250,0.125003,47.000000,-0.062500,0.275391
1,2,0.328125,0.125003,54.000000,-0.072266,0.320312
1,3,0.281250,-0.125003,49.000000,-0.062500,0.275391
1,4,0.328125,-0.125003,55.000000,-0.072266,0.320312
2,1,0.281250,0.000000,19.000000,-0.140625,0.244141
2,2,0.281250,0.125003,59.000000,-0.052734,0.275391
2,3,0.328125,0.125003,60.000000,-0.072266,0.320312
2,4,0.281250,-0.250007,29.000000,-0.140625,0.244141
2,5,0.328125,-0.250007,23.000000,-0.050781,0.324219
2,6,0.234375,-0.125003,46.000000,-0.125000,0.199219
2,7,0.281250,-0.125003,82.000000,-0.150391,0.238281
2,8,0.328125,-0.125003,74.000000,-0.062500,0.322266
2,9,0.281250,0.125003,50.000000,-0.158203,0.232422
2,10,0.281250,-0.250007,22.000000,-0.044922,0.277344
2,11,0.328125,-0.250007,20.000000,-0.173828,0.277344
2,12,0.281250,-0.125003,72.000000,-0.052734,0.275391
2,13,0.328125,-0.125003,56.000000,-0.185547,0.271484
3,1,0.281250,0.000000,17.000000,-0.087891,0.267578
3,2,0.328125,0.000000,15.000000,-0.091797,0.314453
4,1,0.234375,0.000000,28.000000,-0.109375,0.207031
4,2,0.281250,0.000000,43.000000,-0.132812,0.248047
4,3,0.281250,-0.250007,41.000000,-0.123047,0.253906
4,4,0.234375,-0.125003,85.000000,-0.109375,0.207031
4,5,0.281250,-0.125003,124.000000,-0.132812,0.248047
5,1,0.234375,0.000000,41.000000,-0.103516,0.210938
5,2,0.281250,0.000000,60.000000,-0.123047,0.253906
5,3,0.328125,0.000000,32.000000,-0.154297,0.289062
5,4,0.234375,-0.250007,38.000000,-0.095703,0.214844
5,5,0.281250,-0.250007,55.000000,-0.115234,0.257812
5,6,0.328125,-0.250007,31.000000,-0.144531,0.294922
5,7,0.234375,-0.125003,103.000000,-0.103516,0.210938
5,8,0.281250,-0.125003,149.000000,-0.132812,0.248047
5,9,0.328125,-0.125003,81.000000,-0.154297,0.289062
5,10,0.328125,-0.125003,60.000000,-0.021484,0.328125
6,1,0.187500,0.000000,27.000000,-0.087891,0.166016
6,2,0.234375,0.000000,133.000000,-0.109375,0.207031
6,3,0.281250,0.000000,198.000000,-0.132812,0.248047
6,4,0.328125,0.000000,111.000000,-0.164062,0.285156
6,5,0.375000,0.000000,34.000000,0.046875,0.373047
6,6,0.234375,0.125003,44.000000,-0.080078,0.220703
6,7,0.281250,0.125003,94.000000,-0.080078,0.269531
6,8,0.328125,0.125003,79.000000,-0.091797,0.314453
6,9,0.187500,-0.375010,28.000000,-0.087891,0.166016
6,10,0.234375,-0.375010,120.000000,-0.109375,0.207031
6,11,0.281250,-0.375010,162.000000,-0.132812,0.248047
6,12,0.328125,-0.375010,77.000000,-0.154297,0.289062
6,13,0.187500,-0.250007,76.000000,-0.082031,0.167969
6,14,0.234375,-0.250007,342.000000,-0.103516,0.210938
6,15,0.281250,-0.250007,481.000000,-0.123047,0.253906
6,16,0.328125,-0.250007,248.000000,-0.154297,0.289062
6,17,0.187500,-0.125003,74.000000,-0.093750,0.162109
6,18,0.234375,-0.125003,345.000000,-0.117188,0.203125
6,19,0.281250,-0.125003,500.000000,-0.140625,0.244141
6,20,0.328125,-0.125003,269.000000,-0.164062,0.285156
6,21,0.375000,0.000000,25.000000,-0.093750,0.363281
7,1,0.281250,0.000000,52.000000,-0.044922,0.277344
7,2,0.281250,0.125003,62.000000,-0.027344,0.279297
7,3,0.328125,0.125003,65.000000,-0.021484,0.328125
7,4,0.187500,-0.500013,16.000000,-0.070312,0.173828
7,5,0.234375,-0.500013,58.000000,-0.087891,0.216797
7,6,0.281250,-0.500013,66.000000,-0.105469,0.261719
7,7,0.328125,-0.500013,27.000000,-0.123047,0.304688
7,8,0.187500,-0.375010,65.000000,-0.076172,0.171875
7,9,0.234375,-0.375010,220.000000,-0.095703,0.214844
7,10,0.281250,-0.375010,252.000000,-0.115234,0.257812
7,11,0.328125,-0.375010,102.000000,-0.144531,0.294922
7,12,0.187500,-0.250007,70.000000,-0.076172,0.171875
7,13,0.234375,-0.250007,235.000000,-0.095703,0.214844
7,14,0.281250,-0.250007,265.000000,-0.115234,0.257812
7,15,0.328125,-0.250007,97.000000,-0.132812,0.300781
7,16,0.234375,-0.125003,87.000000,-0.109375,0.207031
7,17,0.281250,-0.125003,120.000000,-0.062500,0.275391
7,18,0.281250,0.000000,50.000000,-0.150391,0.238281
7,19,0.281250,-0.125003,92.000000,-0.140625,0.244141
8,1,0.281250,0.000000,52.000000,-0.044922,0.277344
8,2,0.281250,0.125003,62.000000,-0.027344,0.279297
8,3,0.328125,0.125003,65.000000,-0.021484,0.328125
8,4,0.187500,-0.500013,16.000000,-0.070312,0.173828
8,5,0.234375,-0.500013,58.000000,-0.087891,0.216797
8,6,0.281250,-0.500013,66.000000,-0.105469,0.261719
8,7,0.328125,-0.500013,27.000000,-0.123047,0.304688
8,8,0.187500,-0.375010,65.000000,-0.076172,0.171875
8,9,0.234375,-0.375010,220.000000,-0.095703,0.214844
8,10,0.281250,-0.375010,252.000000,-0.115234,0.257812
8,11,0.328125,-0.375010,102.000000,-0.144531,0.294922
8,12,0.187500,-0.250007,70.000000,-0.076172,0.171875
8,13,0.234375,-0.250007,235.000000,-0.095703,0.214844
8,14,0.281250,-0.250007,265.000000,-0.115234,0.257812
8,15,0.328125,-0.250007,97.000000,-0.132812,0.300781
8,16,0.234375,-0.125003,87.000000,-0.109375,0.207031
8,17,0.281250,-0.125003,120.000000,-0.062500,0.275391
8,18,0.281250,0.000000,50.000000,-0.150391,0.238281
